x1	x2	x3	x4	y
0.200065921	0.763111143	0.331195362	0.845786927	1.138552172
0.212376541	0.611942	0.834385831	0.323018509	1.390085361
0.185521041	0.748454391	0.625297447	0.960014392	1.462439069
0.172797215	0.522728601	0.157574799	0.676089837	0.788317569
0.107074495	0.811499458	0.343866542	0.231217019	1.102011918
0.397519097	0.181096648	0.582242824	0.306157645	0.845706479
0.419154868	0.774850726	0.465473092	0.435058925	1.311213692
0.365931403	0.621492371	0.343264537	0.234555699	0.968734454
0.10480779	0.523814988	0.221162971	0.74689961	0.873732762
0.5318029	0.96117518	0.103289711	0.34657259	1.34326901
0.95915503	0.309839202	0.461701032	0.934492653	2.022186481
0.669436896	0.730792727	0.270715798	0.366334985	1.37677562
0.549706378	0.804140702	0.082432191	0.365484344	1.172604884
0.222990983	0.71268623	0.972335463	0.041304803	1.715030537
0.892888949	0.051008644	0.908969196	0.343734029	1.752585158
0.098858836	0.958788471	0.292186884	0.063758954	1.248706956
0.108862071	0.601953677	0.570576764	0.63400216	0.989313892
0.860398174	0.717825364	0.632020779	0.080930698	2.054363738
0.224766546	0.950106164	0.587913583	0.186669918	1.559206484
0.895839758	0.584060585	0.035413684	0.308068527	1.719052367
0.118650372	0.805055477	0.57080173	0.638806538	1.278660446
0.881954832	0.989306246	0.414517361	0.608728839	2.177235185
0.428705733	0.855699836	0.875520526	0.41739578	1.808491902
0.331316354	0.197787026	0.052080344	0.765984506	0.886055849
0.306615392	0.232051259	0.182614781	0.292809402	0.44300438
0.755480178	0.690631403	0.680709154	0.876031425	1.916900842
0.252792801	0.919944232	0.713063033	0.773191765	1.639826657
0.230059302	0.738156639	0.882965285	0.132980652	1.587659254
0.07160639	0.261867966	0.36708877	0.572823022	0.674079286
0.703966917	0.89514526	0.60726253	0.348045445	1.934302855
0.203021074	0.437803499	0.60951241	0.668873422	0.976937645
0.569081319	0.871472364	0.142911632	0.433697745	1.31986945
0.806378528	0.049127121	0.651917914	0.370904213	1.488651708
0.240798725	0.576404042	0.324865796	0.189973922	0.821642026
0.859686548	0.543403878	0.166280518	0.517005408	1.689104986
0.738234349	0.778034886	0.117626371	0.533769246	1.41454226
0.599136431	0.429054799	0.464435081	0.663686428	1.221918991
0.584950373	0.335006417	0.176278508	0.789158283	1.190379653
0.153784024	0.766088868	0.614028605	0.119498788	1.260138872
0.547867879	0.008513689	0.87639282	0.474274179	1.184013369
0.80169924	0.814068672	0.048787899	0.839514809	1.521953181
0.098877048	0.190060913	0.063427683	0.132294746	0.211892707
0.072267815	0.394136865	0.644447216	0.564877335	0.903670258
0.563980465	0.792300318	0.783545448	0.768365698	1.73117759
0.471893878	0.298815887	0.818839627	0.690069394	1.286205748
0.695345725	0.07741213	0.059439538	0.662751311	1.183452745
