x1	x2	x3	x4	y
0.060451137	0.695171326	0.656559848	0.343993203	0.797324954
0.584201303	0.649795196	0.351374729	0.938333305	1.376186756
0.873629259	0.046943752	0.039833444	0.093506022	0.858467835
0.533707272	0.99328748	0.280503278	0.766935533	1.257395806
0.666710774	0.335433157	0.103901701	0.585221861	1.031739668
0.125264023	0.186020309	0.170750654	0.709474573	0.698889382
0.381865471	0.974946386	0.263598617	0.081961296	0.484685318
0.668949051	0.930828823	0.240517461	0.308747557	0.975239071
0.89597443	0.798185687	0.578847194	0.567968054	1.802717963
0.70928624	0.689982359	0.340147929	0.762532749	1.428538103
0.130548259	0.46716407	0.321987091	0.418704468	0.574040823
0.926093349	0.721602994	0.02137953	0.923550094	1.670823744
0.088004367	0.87458741	0.133765237	0.674832077	0.74950037
0.053711511	0.59348188	0.155032355	0.941283554	0.90320828
0.013651794	0.272738842	0.215811477	0.219530174	0.276817641
0.276297862	0.6643025	0.074486606	0.351570812	0.470195108
0.188647271	0.866317838	0.440835903	0.367313992	0.776601691
0.138679903	0.986851695	0.044468605	0.313468174	0.371475687
0.719052513	0.480829297	0.505228638	0.601552735	1.325888567
0.521663616	0.466097693	0.342071583	0.248280792	0.677309537
0.543751188	0.518486058	0.816589411	0.246352654	0.962923943
0.277488971	0.094471034	0.494676409	0.447522227	0.556465818
0.010992414	0.85979546	0.257867651	0.103744576	0.325392845
0.177622526	0.811766695	0.344098575	0.04416653	0.355029697
0.962101647	0.358078641	0.027090099	0.608672234	1.50711862
0.26152781	0.856212572	0.406577556	0.36380558	0.772346915
0.316736946	0.877432734	0.198860066	0.799704954	0.991959124
0.285414148	0.246008025	0.604081972	0.683930282	0.861914489
0.591746411	0.636077661	0.976920797	0.432916163	1.391081028
0.410358356	0.971514557	0.392981124	0.635002433	1.143360337
0.251235079	0.328261489	0.25301633	0.158262405	0.303777148
0.654723385	0.017799204	0.941734184	0.76294279	1.136476329
0.169650781	0.48367256	0.226517644	0.524034356	0.638718932
0.368390161	0.591508156	0.378762674	0.390427967	0.740336733
0.338773338	0.866300913	0.497067607	0.716740952	1.2023085
0.568694135	0.551752251	0.171951771	0.660046563	1.031441432
0.369868812	0.558257964	0.073659082	0.352727158	0.523382054
0.603896235	0.994970421	0.220436225	0.624849155	1.168993124
0.957345926	0.013436233	0.569409931	0.516077456	1.417634212
0.70406823	0.354238848	0.587173999	0.555333597	1.230938708
0.918343882	0.01667292	0.790860185	0.312805561	1.164270696
0.156121791	0.264157655	0.940737979	0.711457501	0.925815544
0.542659478	0.43741351	0.486380144	0.204737946	0.710539142
0.019790104	0.342757692	0.567169993	0.881052303	0.966202454
0.374813573	0.860817729	0.745696781	0.099127949	0.881359908
0.851254852	0.673679674	0.618591664	0.665562238	1.758868924
0.711240251	0.529318785	0.066878114	0.347890757	0.882178218
0.808474235	0.220715814	0.12163663	0.279814994	0.956655559
0.551870089	0.204906384	0.55149668	0.01099899	0.428564554
0.552107088	0.439753218	0.113443442	0.928841762	1.155636325
0.335669899	0.959605775	0.224102985	0.16222213	0.489236358
0.738717304	0.220810605	0.489365901	0.410969723	1.05325893
0.25221768	0.956064583	0.01419468	0.621348144	0.659316646
0.019555787	0.561049429	0.754691629	0.924754252	1.222274576
0.595230042	0.224115673	0.755132105	0.498518388	1.001660519
0.486902226	0.150356249	0.538199938	0.476531981	0.776695792
0.383485409	0.192451799	0.414514427	0.540426676	0.741337015
0.141811584	0.41782354	0.381600913	0.433909582	0.599973653
0.521003659	0.746553761	0.1268222	0.272977314	0.635724102
0.007909824	0.620686272	0.92434256	0.101657575	0.675271876
0.749652474	0.441315912	0.289739605	0.866668097	1.452021728
0.448384747	0.982173252	0.297120039	0.481801284	0.956248391
0.734635605	0.695501983	0.429191647	0.140772942	0.978501566
0.825319143	0.646998794	0.953667582	0.572367945	1.839797572
0.841868805	0.810116681	0.298796408	0.248773948	1.197018877
0.575261482	0.475339747	0.63213079	0.809849482	1.355586046
0.330106103	0.311192996	0.972865996	0.946287561	1.222969564
0.86419304	0.382032427	0.885613395	0.529667587	1.59040915
0.751052677	0.745146603	0.185675252	0.225726802	0.926250193
0.633567381	0.734912457	0.051029123	0.273155282	0.708680638
0.775796175	0.458192807	0.854539295	0.591223041	1.550780344
0.839714568	0.36092317	0.720313921	0.796636372	1.680107114
0.954450673	0.107699486	0.477350503	0.120084802	1.08218289
0.333615624	0.939596809	0.638392535	0.92389125	1.509083962
0.997305115	0.26033519	0.661548933	0.407323558	1.562995242
0.723558866	0.562218614	0.616126825	0.691375787	1.507533051
0.564971471	0.453024188	0.981896424	0.483156937	1.228592649
0.802539874	0.73898632	0.225698144	0.51933279	1.3071591
0.25241864	0.825912936	0.787063053	0.018289682	0.732049389
0.18924214	0.687418357	0.469903337	0.569942001	0.898415985
0.522850512	0.891902663	0.703536636	0.935552748	1.705786045
0.102354949	0.781330443	0.847182154	0.531167155	1.178945769
0.437216437	0.858283641	0.673685855	0.698513751	1.412451991
0.839933739	0.485045865	0.121202867	0.629942639	1.353376043
0.534787856	0.316250501	0.28613679	0.311611734	0.683082103
0.570328586	0.920863197	0.61643824	0.525635821	1.394693079
0.100181207	0.617939823	0.042986473	0.549909988	0.559209817
0.282012993	0.939476169	0.234816568	0.409643576	0.698418317
0.224484813	0.898571161	0.565753494	0.678605512	1.186471302
