loss_step,acc_step,epoch,step
2.107255458831787,0.484375,0,9
1.8063759803771973,0.6796875,0,19
1.5061428546905518,0.734375,0,29
1.351750135421753,0.6875,0,39
1.137805461883545,0.75,0,49
0.9148505926132202,0.8203125,0,59
0.8399072289466858,0.8203125,0,69
0.7086527347564697,0.875,0,79
0.6258553862571716,0.8046875,0,89
0.5625579953193665,0.8515625,0,99
0.5132334232330322,0.890625,0,109
0.5244725942611694,0.859375,0,119
0.637207567691803,0.84375,0,129
0.48260369896888733,0.875,0,139
0.6473731398582458,0.7890625,0,149
0.5717984437942505,0.8515625,0,159
0.46958598494529724,0.859375,0,169
0.47446101903915405,0.875,0,179
0.3566931188106537,0.90625,0,189
0.3893273174762726,0.921875,0,199
0.3430089056491852,0.8984375,0,209
0.5459966659545898,0.8515625,0,219
