x1	x2	x3	x4	x5	y
0.692152141	0.516660598	0.472420386	0.363420881	0.692152141	1.415307727
0.127043674	0.940139322	0.853165221	0.7529547	0.940139322	1.75837359
0.094310549	0.146103208	0.7471427	0.7708234	0.7708234	0.888877825
0.744740738	0.022890454	0.12628687	0.622706179	0.744740738	1.30227027
0.062763545	0.349933174	0.711774328	0.593357603	0.711774328	0.96478704
0.858476278	0.277610131	0.627734306	0.723567345	0.858476278	1.769723202
0.750469369	0.549702558	0.717511608	0.471550515	0.750469369	1.708091608
0.692255075	0.601328838	0.880147536	0.086939335	0.880147536	1.88862272
0.963130011	0.428400085	0.193567611	0.898921386	0.963130011	1.97367381
0.754248251	0.084048828	0.341818281	0.721276781	0.754248251	1.351868101
0.854976886	0.724143612	0.606684662	0.010566937	0.854976886	2.025289185
0.931555036	0.808395311	0.037887975	0.894582326	0.931555036	1.829978281
0.414793457	0.028073947	0.741824255	0.269769753	0.741824255	0.934703801
0.122673058	0.926777731	0.56090576	0.51552199	0.926777731	1.461661377
0.310422248	0.242710682	0.367046628	0.744239677	0.744239677	0.929687786
0.732378121	0.175568624	0.438970573	0.151683248	0.732378121	1.345825293
0.351769703	0.676104443	0.445422757	0.893192439	0.893192439	1.318086668
0.820507825	0.519307802	0.580358617	0.896837288	0.896837288	1.871455137
0.639409813	0.751312695	0.98890075	0.770754354	0.98890075	2.140719346
0.473285451	0.179674694	0.139246807	0.331310654	0.473285451	0.722303696
0.661274938	0.201292355	0.727977919	0.554319486	0.727977919	1.311798851
0.312692018	0.076259712	0.801250188	0.821005186	0.821005186	0.979884593
0.20762643	0.367039461	0.333765592	0.074539859	0.367039461	0.532653338
0.784349896	0.458077845	0.558577442	0.637522169	0.784349896	1.655426606
0.557230288	0.697595854	0.315251058	0.632704665	0.697595854	1.228019279
0.069217259	0.638308327	0.457804291	0.500499838	0.638308327	0.935319648
0.755124058	0.786284388	0.172761804	0.32130624	0.786284388	1.49233664
0.154544185	0.893826897	0.768840557	0.003077705	0.893826897	1.604921172
0.6225385	0.936032175	0.834087074	0.333594612	0.936032175	2.104318698
0.262213068	0.608449056	0.077537464	0.813743018	0.813743018	0.929676308
0.966803156	0.080948039	0.995912827	0.454802763	0.995912827	2.011238358
0.752100595	0.822366669	0.264462462	0.642989396	0.822366669	1.605507088
0.760957042	0.275610687	0.021147331	0.151591049	0.760957042	1.345841093
0.616401822	0.772905247	0.987764732	0.919669225	0.987764732	2.131164482
0.903995893	0.757065665	0.137919833	0.742572398	0.903995893	1.825618838
